pdb,chain,pep_len,mean_favorability
1BD2,C,9,4.736144002743334
1LP9,C,9,7.451666172961112
1QRN,C,9,4.676210462088889
1QSE,C,9,4.980838817594445
1QSF,C,9,5.491014007944445
2ESV,P,9,5.600591249733332
2GJ6,C,9,4.542733498305555
2J8U,C,9,5.4277751678
2NX5,C,11,5.03218593564091
2VLJ,C,9,5.975046550405556
3D39,C,8,4.923059836937499
3D3V,C,8,5.47009138781875
3DXA,C,10,4.590870528400001
3FFC,C,9,6.023814541611111
3GSN,P,9,4.169375898544444
3H9S,C,9,5.595468145361111
3KPR,C,9,5.875299842866666
3KPS,C,9,5.5754748057166665
3MV7,C,11,6.126516047118181
3MV8,C,11,5.787267179715
3MV9,C,11,5.605869181263636
3O4L,C,9,5.085514685172222
3PWP,C,9,4.852495952091111
3QDG,C,10,5.659562797104999
3QDJ,C,9,4.039028763605556
3QDM,C,10,6.24600620167
3QEQ,C,9,4.2926477590111105
3QFJ,C,9,5.146191948197778
3UTS,C,10,5.814785149265001
3UTT,C,10,5.54957200574
3VXM,C,10,6.352784771325
3VXR,C,10,7.393036923125001
3VXS,C,10,7.683944580675001
3VXU,C,10,5.092605453359999
3W0W,C,10,7.052898235700001
4JFD,C,10,6.1290291927350005
4JFE,C,10,4.811048891754999
4JRX,C,13,7.30099645041154
4MJI,C,8,5.24237483515625
4PRP,C,11,6.136166333531818
4QOK,C,10,6.504090106985001
4QRR,P,9,5.113998822016666
5C07,C,10,5.6898492837035
5C08,C,10,5.760119213349999
5C09,C,10,7.18788011444
5C0A,C,10,5.178265084405
5C0B,C,10,4.753964939674999
5C0C,C,10,4.82178584817
5D2N,G,9,4.97185689675
5E9D,C,10,6.259462620010001
5ISZ,C,9,6.618307152250001
5JHD,C,9,6.066111033977777
5JZI,C,10,5.959357610620001
5NHT,P,10,6.06333769049
5NQK,P,10,6.21220726048
5W1V,C,9,5.309714355666667
5W1W,C,9,5.44663053080539
5WKF,C,10,6.2478046623
5WKH,C,10,6.4977983545499995
5WLG,C,9,5.4096741297555555
5YXN,I,10,5.814991954515
6AVF,P,13,6.890522097788462
6BJ2,C,9,4.497026591216111
6BJ3,C,9,5.092375852044222
6D78,C,9,5.869721452772222
6MTM,C,9,4.318553422190555
6P64,C,9,4.426554905291668
6RPA,C,9,5.033735629345555
6RPB,C,9,4.670234536844443
6RSY,C,9,4.415270844588889
6TRO,C,10,5.29633629099
6UK2,C,9,3.861751833738889
6UK4,C,9,4.422850159711111
6UON,C,10,4.330481952135
6VMC,C,9,3.627370649775555
6VQO,P,9,4.809907595627779
6VRM,P,9,4.671761283951111
6VRN,P,9,4.402957097907223
7DZM,C,9,5.78536732261111
7L1D,C,9,4.8120019835
7N2P,C,9,4.939315255988889
7N2Q,C,9,4.4595700921944434
7N2R,C,9,5.307617162294444
7OW5,C,10,6.190205732412499
7OW6,C,10,6.178988272805
7PB2,C,10,6.635076034395
7PHR,P,9,6.427090186916668
7RK7,C,9,5.203463337844444
7RM4,C,9,4.581675970772222
7RRG,C,9,4.987837747133333
7SU9,C,9,6.621742128577779
8EN8,C,9,6.284047360944445
8ES8,P,10,5.682331544727501
8ES9,P,10,4.79003377804
8F5A,E,10,4.503661488265
8GVB,P,8,5.498815882
8GVG,P,8,5.9000362377375
8GVI,P,8,5.6020768291125
8I5C,P,8,5.6020768291125
8I5D,P,9,4.864369444494445
8RYM,C,9,4.210139271361111
8RYN,C,9,3.8840209670166663
8RYO,C,9,4.0183540335388885
8RYP,C,9,4.657628531847222
8RYQ,C,9,4.585358365877777
8WTE,G,9,6.525769191944445
8WUL,K,9,6.0964751571111115
8YE4,E,9,5.3734505428701675
9GV6,C,9,5.222662602212779
9GV7,C,11,5.3498309345068185
9IKY,C,11,5.3498309345068185
9J4U,C,9,5.296838260426666
9RXM,D,9,4.304443928711112
